JavaX Annotation API,Ljavax/annotation,Ljavax/annotation
Unknown,com/aigestudio,com/aigestudio
Heyzap,com/heyzap,com/heyzap
ActiveAndroid,com/activeandroid,com/activeandroid
realm,Lio/realm/internal,Lio/realm/internal
realm processor,Lio/realm/processor,Lio/realm/processor
appnextsdk,com/appnext/appnextsdk,com/appnext/appnextsdk
appnext ads,com/appnext/ads,com/appnext/ads
appnext core,com/appnext/core,com/appnext/core
Android Viewpagerindicator Widget,com/viewpagerindicator,com/viewpagerindicator
otto,com/squareup/otto,com/squareup/otto
Dagger,Ldagger,Ldagger
KObjects,Lorg/kobjects,Lorg/kobjects
ksoap2,Lorg/ksoap2,Lorg/ksoap2
Kxml2,Lorg/kxml2,Lorg/kxml2
Unknown,Lnet/sf,Lnet/sf
ExoPlayer,com/google/android/exoplayer,com/google/android/exoplayer
grandcentrix,Lnet/grandcentrix,Lnet/grandcentrix
caverock,com/caverock,com/caverock
makeramen,com/makeramen,com/makeramen
davemorrissey,com/davemorrissey,com/davemorrissey
brightcove event,com/brightcove/player/event,com/brightcove/player/event
brightcove preferences,com/brightcove/player/captioning/preferences,com/brightcove/player/captioning/preferences
apmem,Lorg/apmem,Lorg/apmem
Json org,Lorg/json,Lorg/json
Metalev Multi Touch,Lorg/metalev/multitouch,Lorg/metalev/multitouch
pulltorefresh,com/handmark/pulltorefresh,com/handmark/pulltorefresh
photoview,Luk/co/senab/photoview,Luk/co/senab/photoview
haarman,com/haarman,com/haarman
handmark,com/handmark,com/handmark
ianhanniballake,com/ianhanniballake,com/ianhanniballake
emilsjolander,com/emilsjolander,com/emilsjolander
Esoteric Software 2D,com/esotericsoftware,com/esotericsoftware
Amazon Auth SDK,com/amazon/identity/auth,com/amazon/identity/auth
android support v13,android/support/b,android/support/v13
Unknown,com/appnext/core/webview,com/appnext/core/webview
GreenDao,Lde/greenrobot/dao,Lde/greenrobot/dao
EventBus,Lde/greenrobot/event,Lde/greenrobot/event
Android Priority Job Queue,com/path/android/jobqueue,com/path/android/jobqueue
Google Maps Utils,com/google/maps/android,com/google/maps/android
SLF4J,Lorg/slf4j,Lorg/slf4j
com path,com/path,com/path
google,com/google/c,com/google/c
google,com/google/a/a,com/google/a/a
jaredrummler,com/jaredrummler,com/jaredrummler
miguelcatalan,com/miguelcatalan,com/miguelcatalan
socket,Lio/socket,Lio/socket
joda,Lorg/joda,Lorg/joda
Google API Client Libraries,com/google/api/client,com/google/api/client
ShareSDK,Lcn/sharesdk/framework,Lcn/sharesdk/framework
Mob one key share,Lcn/sharesdk/onekeyshare,Lcn/sharesdk/onekeyshare
Mob share to tencent,Lcn/sharesdk/tencent,Lcn/sharesdk/tencent
prime,com/prime31,com/prime31
mob share,com/mob/commons,com/mob/commons
Mob Tools,com/mob/tools,com/mob/tools
wechat,Lcn/sharesdk/wechat,Lcn/sharesdk/wechat
agasper,Lnet/agasper,Lnet/agasper
hockeyapp,Lnet/hockeyapp,Lnet/hockeyapp
exoplayer2 util,com/google/android/exoplayer2/util,Ltv/teads/android/exoplayer2/util
exoplayer2 cache,com/google/android/exoplayer2/upstream/cache,Ltv/teads/android/exoplayer2/upstream/cache
exoplayer2 metadata,com/google/android/exoplayer2/metadata,Ltv/teads/android/exoplayer2/metadata
exoplayer2 drm,com/google/android/exoplayer2/drm,Ltv/teads/android/exoplayer2/drm
exoplayer2 mkv,com/google/android/exoplayer2/extractor/mkv,Ltv/teads/android/exoplayer2/extractor/mkv
exoplayer2 audio,com/google/android/exoplayer2/audio,Ltv/teads/android/exoplayer2/audio
jakewharton,com/jakewharton,com/jakewharton
twitter,com/twitter/sdk/android/core,com/twitter/sdk/android/core
